Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
16	1148	2.51e-38	37.6	7.34	38	20	16	36.7	25.6	16	612	41	21	20	159
15	645	7.38e-26	25.1	6.04	42	66	9	40.5	63.7	8.07	945	42	67	8	261
14	550	3.54e-23	22.5	7.24	57	23	14	55.6	24.9	16.9	326	54	25	16	112
13	209	8.34e-12	11.1	6.68	17	35	16	17.3	33.3	15.5	270	18	28	12	92.8
12	154	1.71e-09	8.77	5.91	17	41	3	20.1	41.9	3.13	248	17	42	5	131
11	109	2.38e-07	6.62	5.05	47	58	17	46.8	57.5	17.2	440	49	60	16	171
10	100	5.96e-07	6.22	5.29	56	33	7	57.1	36.4	5.65	179	60	38	3	99.6
9	85	3.81e-06	5.42	5.01	35	16	1	31.3	18.4	0.626	301	37	18	2	148
8	75	1.36e-05	4.87	5.77	59	42	2	56	42.1	1.1	219	57	43	1	140
7	67	3.92e-05	4.41	5.68	33	26	6	38.4	25.5	6.19	235	33	26	5	125
6	58	0.000135	3.87	4.85	16	31	0	20.1	27.2	0.551	290	17	30	0	148
5	41	0.00171	2.77	5.95	31	31	12	30.7	32.8	13.3	241	31	32	12	107
4	39	0.00236	2.63	4.85	39	40	18	39	39.6	18.3	160	39	40	18	109
3	27	0.0182	1.74	4.21	58	35	14	58.4	35.5	13.9	260	59	33	15	112
2	23	0.0381	1.42	4.11	25	35	16	23.4	34.9	15.3	123	23	34	16	92.8
1	23	0.0381	1.42	4.77	28	28	9	27.8	28.4	8.93	139	27	29	9	100
