Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
16	1148	2.51e-38	37.6	7.34	4.23	-77	26.5	8	-59.9	25.2	612	-3	-73	41.7	159
15	645	7.38e-26	25.1	6.04	-8.85	62.9	-4.38	-4.86	55.5	-7.85	945	-9.18	65.8	-8.14	261
14	550	3.54e-23	22.5	7.24	-51.4	-67.9	24.8	-46.4	-61.3	34.7	326	-42	-61.3	30.8	112
13	209	8.34e-12	11.1	6.68	65.4	-31.3	17.7	64.3	-36.6	16.3	270	60.9	-53.7	4.62	92.8
12	154	1.71e-09	8.77	5.91	60.9	-15.7	-30.1	52	-12.9	-28.8	248	61.6	-12.2	-23	131
11	109	2.38e-07	6.62	5.05	-20.6	40.2	27.2	-20.1	38.6	28.1	440	-26.7	46.2	23.9	171
10	100	5.96e-07	6.22	5.29	-50.8	-38.7	-2.23	-54.3	-28.5	-7.27	179	-63.7	-24.1	-16.1	99.6
9	85	3.81e-06	5.42	5.01	7.49	-92.7	-27.9	18.3	-85.4	-30.8	301	2.1	-86.3	-24	148
8	75	1.36e-05	4.87	5.77	-61.1	-12.1	-20.7	-52.7	-12.1	-24.9	219	-55.6	-9.26	-25	140
7	67	3.92e-05	4.41	5.68	15.3	-60.9	-12	-0.217	-62.3	-9.57	235	14.9	-61.1	-15.6	125
6	58	0.000135	3.87	4.85	62.5	-47.1	-39.7	50.6	-58.6	-35.9	290	59.5	-50.2	-39.2	148
5	41	0.00171	2.77	5.95	23.3	-44.2	8.24	24.6	-38.2	12.7	241	23.3	-41.1	8.09	107
4	39	0.00236	2.63	4.85	2.48	-15.1	31	2.49	-16.3	32	160	2.48	-15.1	31	109
3	27	0.0182	1.74	4.21	-54.1	-31	23.3	-55.2	-29.5	22.9	260	-56.6	-36.9	27.5	112
2	23	0.0381	1.42	4.77	30.9	-54.2	-3.06	31.4	-52.8	-3.43	139	33.8	-51.1	-3.52	100
1	23	0.0381	1.42	4.11	42.2	-31.1	20.2	46.7	-31.7	17	123	48	-34.3	19.7	92.8
