Cluster Index	Z	x	y	z	
8	17.9	50	20	5
8	16.7	50	22	4
8	16.5	40	18	7
8	16.3	35	15	8
8	16.3	30	22	4
8	15.9	50	29	3
7	12.8	27	50	17
7	11.8	27	47	23
7	11.1	27	56	11
7	10.8	24	47	15
7	8.9	21	51	19
7	7.65	23	56	21
6	11.3	52	51	16
6	10.2	54	50	22
6	8.48	48	48	22
6	6.61	51	46	20
6	5.08	54	57	21
6	4.95	54	54	23
5	10.9	25	35	19
5	6.22	18	38	22
4	7.66	37	54	19
4	6.85	41	52	20
4	6.01	40	50	18
4	4.02	37	59	22
3	8.5	50	56	10
3	4.8	50	51	10
3	3.68	51	50	7
2	4.33	36	64	21
2	4.17	41	65	19
2	3.96	45	63	21
2	3.61	37	61	20
2	3.48	40	64	21
2	3.36	36	65	19
1	5.53	46	36	7
1	3.64	44	38	9
