Cluster Index	Z	x	y	z	
9	17.5	-31.5	-70	-10.1
9	17.5	-34.4	-79.2	-9.37
9	16.5	26.8	-70.2	-12.8
9	16.4	-4.81	-85.1	-5
9	16.4	9.96	-94.2	-2.51
9	15.7	23.2	-73.7	-19.5
8	11.8	37.1	15.2	22.1
8	8.57	45	5.5	14.5
8	6.66	55.2	18.6	27.3
8	5	50.2	34.5	34.4
8	4.39	53.7	22.6	41.9
8	3.68	52.6	4.79	2.7
7	10.8	38.8	4.03	40.8
7	3.45	34.2	26.2	51.2
7	3.35	38.5	16.1	36.6
6	8.56	34.7	32.1	-3.98
6	5.05	31.4	19.6	-6.67
6	4.79	40	13.4	-7.31
6	4.03	50.6	36	8.71
5	7.19	8.93	28.2	31.9
5	6.15	2.7	15.7	29.5
5	5.2	-5.23	22.3	37.4
5	3.96	17.2	21.7	27.6
4	7.14	43.3	-30.5	31
4	4.1	64.7	-17.7	39
3	4.9	-54.3	-12.7	18.8
3	3.73	-68.4	-6.28	23.7
3	3.63	-45.2	-12.6	21.5
3	3.47	-42.7	-19	17.9
3	3.23	-67.6	-2.77	30.7
2	5.43	-34.6	-1.02	8.81
2	3.82	-46.6	-4.24	6.61
1	4.34	23.6	-50.1	12.1
1	4.01	20	-50.6	5.25
